,title,brand,price,post link,image link,review,review amount
20,Jaguar 8575 Sin género Adultos,JAGUAR,10.200,https://www.mercadolibre.com.ar/jaguar-8575-sin-genero-adultos-negro/p/MLA19126831?pdp_filters=category:MLA109027#searchVariation=MLA19126831&position=6&search_layout=grid&type=product&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_745111-MLA49805384923_042022-W.jpg,4.7,(596)
21,Zapatillas Puma X-ray Speed Open Road Blancas Para Hombre,PUMA,69.999,https://articulo.mercadolibre.com.ar/MLA-1372777575-zapatillas-puma-x-ray-speed-open-road-blancas-para-hombre-_JM#position=22&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_929550-MLA69888606015_062023-W.jpg,4.8,(210)
22,Zapatillas Running Puma Flyer Flex Negra Solo Deportes,PUMA,27.699,https://articulo.mercadolibre.com.ar/MLA-1366593947-zapatillas-running-puma-flyer-flex-negra-solo-deportes-_JM#position=23&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_775947-MLA68978451530_042023-W.jpg,4.6,(295)
23,Zapatillas Ozono Skate Directo De Fábrica,OZONO,18.800,https://articulo.mercadolibre.com.ar/MLA-716347136-zapatillas-ozono-skate-directo-de-fabrica-_JM#position=24&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_848480-MLA70178595379_062023-W.jpg,4.3,(2263)
24, Zapatillas Rave Urbanas 35 A 45 Livianas De Vestir #806,RAVE,9.990,https://articulo.mercadolibre.com.ar/MLA-1391155647-zapatillas-rave-urbanas-35-a-45-livianas-de-vestir-806-_JM#position=25&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_899654-MLA70862091276_082023-W.jpg,4.5,(245)
25,Zapatillas Moda Mujer Urbana Plataforma  ,,15.700,https://articulo.mercadolibre.com.ar/MLA-911111642-zapatillas-moda-mujer-urbana-plataforma-_JM#position=26&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_671335-MLA69552234387_052023-W.jpg,4.5,(3511)
26,Zapatillas De Mujer Livianas Comodas Moda Nadin Full,BECCA SHOES,39.999,https://articulo.mercadolibre.com.ar/MLA-1408427670-zapatillas-de-mujer-livianas-comodas-moda-nadin-full-_JM#position=27&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_991684-MLA54981716142_042023-W.jpg,3.9,(1453)
27,Zapatillas Vibração Olympikus Team Sport Tienda Oficial,OLYMPIKUS,23.199,https://articulo.mercadolibre.com.ar/MLA-1550159022-zapatillas-vibraco-olympikus-team-sport-tienda-oficial-_JM#position=28&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_804237-MLA72574215177_102023-W.jpg,0.0,-
28,Botas Chuck Taylor All Star Converse Converse Tienda Oficial,CONVERSE,61.899,https://articulo.mercadolibre.com.ar/MLA-1515160026-botas-chuck-taylor-all-star-converse-converse-tienda-oficial-_JM#position=29&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_948907-MLA71811052528_092023-W.jpg,4.8,(59)
29,Zapatillas De Mujer Livianas Comodas Moda Nadin,BECCA SHOES,39.999,https://articulo.mercadolibre.com.ar/MLA-1379543968-zapatillas-de-mujer-livianas-comodas-moda-nadin-_JM#position=30&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_996278-MLA72341483599_102023-W.jpg,3.9,(5510)
30,Zapatillas Narrow Original Cuero Vacuno Urbanas Art.3303 ,NARROW,37.374,https://articulo.mercadolibre.com.ar/MLA-1430059924-zapatillas-narrow-original-cuero-vacuno-urbanas-art3303-_JM#position=31&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_986856-MLA70355033555_072023-W.jpg,4.6,(37)
31,Zapatilla Urbana Hombre Deli Art 733,DELI,9.360,https://articulo.mercadolibre.com.ar/MLA-853908575-zapatilla-urbana-hombre-deli-art-733-_JM#position=32&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_605516-MLA41716898210_052020-W.jpg,4.5,(1853)
32,Zapatillas Hombre Penalty Recife Talles 40 Al 48,PENALTY,25.235,https://articulo.mercadolibre.com.ar/MLA-1393733043-zapatillas-hombre-penalty-recife-talles-40-al-48-_JM#position=33&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_802877-MLA72470406610_102023-W.jpg,4.7,(123)
33,Zapatillas Topper X Forcer ||| Color Negro Para Hombre ,TOPPER,28.000,https://articulo.mercadolibre.com.ar/MLA-917513379-zapatillas-topper-x-forcer-color-negro-para-hombre-_JM#position=34&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_922852-MLA45670838572_042021-W.jpg,4.7,(713)
