;title;price;post link;image link;review;review amount
25;Zapatillas Running Puma Sophia 2 Mujer Rosa Solo Deportes;46.999;https://articulo.mercadolibre.com.ar/MLA-1391244605-zapatillas-running-puma-sophia-2-mujer-rosa-solo-deportes-_JM#position=26&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_725775-MLA72090172503_102023-W.jpg;-;-
26;Zapatillas De Mujer Livianas Comodas Moda Nadin;39.999;https://articulo.mercadolibre.com.ar/MLA-1379543968-zapatillas-de-mujer-livianas-comodas-moda-nadin-_JM#position=27&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_996278-MLA72341483599_102023-W.jpg;4.0;(4004)
27;Zapatillas Atomik Fackie-xb 0456 Dash;27.289;https://articulo.mercadolibre.com.ar/MLA-1391402001-zapatillas-atomik-fackie-xb-0456-dash-_JM#position=28&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_948506-MLA72050531704_102023-W.jpg;4.8;(6)
28;Zapatilla 176 Claw Lona Negra John Foos;37.239;https://articulo.mercadolibre.com.ar/MLA-1512814180-zapatilla-176-claw-lona-negra-john-foos-_JM#position=29&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_720492-MLA71775888040_092023-W.jpg;-;-
29;Zapatilla De Hombre 42sma0092 Lacoste;85.000;https://articulo.mercadolibre.com.ar/MLA-1390570025-zapatilla-de-hombre-42sma0092-lacoste-_JM#position=30&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_898380-MLA72005582217_092023-W.jpg;-;-
30;Zapatillas Deportivas De Hombre Running Fila Transition;30.439;https://articulo.mercadolibre.com.ar/MLA-1525588472-zapatillas-deportivas-de-hombre-running-fila-transition-_JM#position=31&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_910025-MLA71999965754_102023-W.jpg;-;-
31;Bota 184 Totally Black Lona Negra John Foos;35.639;https://articulo.mercadolibre.com.ar/MLA-1512776362-bota-184-totally-black-lona-negra-john-foos-_JM#position=32&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_978956-MLA71831638927_092023-W.jpg;-;-
32;Zapatillas Head Mujer Shanghai;28.299;https://articulo.mercadolibre.com.ar/MLA-1527083648-zapatillas-head-mujer-shanghai-_JM#position=33&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_894401-MLA72017226202_102023-W.jpg;-;-
33;Zapatillas Olympikus G-volt 0504 Mark;21.599;https://articulo.mercadolibre.com.ar/MLA-1523665074-zapatillas-olympikus-g-volt-0504-mark-_JM#position=34&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_878628-MLA72022928159_092023-W.jpg;4.5;(4)
34;Zapatillas Kioshi Oasis Blanco Men C;20.899;https://articulo.mercadolibre.com.ar/MLA-935208382-zapatillas-kioshi-oasis-blanco-men-c-_JM#position=35&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_703158-MLA44816080718_022021-W.jpg;-;-
35;Zapatillas Head Training Evolution Ottawa Hype Hombre Ng Ng;25.699;https://articulo.mercadolibre.com.ar/MLA-1528913304-zapatillas-head-training-evolution-ottawa-hype-hombre-ng-ng-_JM#position=36&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_921288-MLA72258317577_102023-W.jpg;5.0;(3)
36;Zapatillas Running Fila Racer Curve Negra Solo Deportes;39.890;https://articulo.mercadolibre.com.ar/MLA-1530321410-zapatillas-running-fila-racer-curve-negra-solo-deportes-_JM#position=37&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_998631-MLA72063311928_102023-W.jpg;-;-
37;Zapatillas G-mega Olympikus Team Sport Tienda Oficial;19.899;https://articulo.mercadolibre.com.ar/MLA-1533693596-zapatillas-g-mega-olympikus-team-sport-tienda-oficial-_JM#position=38&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_703603-MLA72142381422_102023-W.jpg;-;-
38;Zapatillas Jaguar Oficial Deportiva Art. #9331 35al40;22.895;https://articulo.mercadolibre.com.ar/MLA-1523091132-zapatillas-jaguar-oficial-deportiva-art-9331-35al40-_JM#position=39&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_737997-MLA72265967556_102023-W.jpg;4.9;(44)
39;Zapatillas John Foos Negra Filete Banda Inferior Baja 182;36.299;https://articulo.mercadolibre.com.ar/MLA-1512826998-zapatillas-john-foos-negra-filete-banda-inferior-baja-182-_JM#position=40&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_785567-MLA54052046240_022023-W.jpg;-;-
40;Atomik Zapatillas - Fackie X Crd;27.299;https://articulo.mercadolibre.com.ar/MLA-1535116766-atomik-zapatillas-fackie-x-crd-_JM#position=41&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_753153-MLA72217597127_102023-W.jpg;-;-
41;Zapatillas Elastizadas Super Livianas Fabricante Directo;9.299;https://articulo.mercadolibre.com.ar/MLA-911412538-zapatillas-elastizadas-super-livianas-fabricante-directo-_JM#position=42&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_787499-MLA71203100486_082023-W.jpg;4.4;(4232)
42;Zapatillas Atomik Fackie-x 0451 Dash;27.289;https://articulo.mercadolibre.com.ar/MLA-1529145222-zapatillas-atomik-fackie-x-0451-dash-_JM#position=43&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_965445-MLA72109624437_102023-W.jpg;-;-
43;Atomik Zapatillas - Neon -x Blanco;24.199;https://articulo.mercadolibre.com.ar/MLA-1530324016-atomik-zapatillas-neon-x-blanco-_JM#position=44&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_621226-MLA72064444872_102023-W.jpg;-;-
44;Zapatillas Gummi Hook Mujer Sneakers Urbanas Plataforma;33.699;https://articulo.mercadolibre.com.ar/MLA-1391241045-zapatillas-gummi-hook-mujer-sneakers-urbanas-plataforma-_JM#position=45&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_799367-MLA72104373863_102023-W.jpg;4.3;(3)
45;Zapatilla Topper Fast Kids Rosa / Lila / Negro;26.250;https://articulo.mercadolibre.com.ar/MLA-1525868072-zapatilla-topper-fast-kids-rosa-lila-negro-_JM#position=46&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_653370-MLA71414215698_092023-W.jpg;-;-
46;Zapatilla De Mujer 42sfa00766 Lacoste;85.000;https://articulo.mercadolibre.com.ar/MLA-1390582913-zapatilla-de-mujer-42sfa00766-lacoste-_JM#position=47&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_779692-MLA71949805340_092023-W.jpg;-;-
47;Zapatillas Salomon Outdoor Alphacross 3 M Hombre Ng;59.999;https://articulo.mercadolibre.com.ar/MLA-1392097435-zapatillas-salomon-outdoor-alphacross-3-m-hombre-ng-_JM#position=48&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_881741-MLA72150333542_102023-W.jpg;-;-
48;Zapatillas Head Ottawa 1111 Dash;24.699;https://articulo.mercadolibre.com.ar/MLA-1391844319-zapatillas-head-ottawa-1111-dash-_JM#position=49&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_612477-MLA72103185438_102023-W.jpg;5.0;(1)
49;Zapatillas Jaguar Oficial Deportiva Art. #9340 39 Al 45 ;24.990;https://articulo.mercadolibre.com.ar/MLA-1390992345-zapatillas-jaguar-oficial-deportiva-art-9340-39-al-45-_JM#position=50&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_875539-MLA72265591944_102023-W.jpg;-;-
